F3635B20-2447-4B8B-ACF4-E8DD99B586E4	[Взаимодействие с банком]->[Процессы]->[Добавление филиала в банк]->{Скрипт}	{          context.Documents.Save(context.CurrentDocument);  }  	C3B423EA-4FE7-4D89-BA86-5EF744467FF8	1	1	1	64
5B4F9BEA-BEB3-4356-989F-FE8AB13E11A3	[Взаимодействие с банком]->[Процессы]->[Добавление филиала в банк]->{Скрипт}	{      var inputDocId = context.GetVariable("InputDocumentId");        if (inputDocId != null)      	C3B423EA-4FE7-4D89-BA86-5EF744467FF8	1	1	1	156
75CE5E0F-5CFA-4404-9DF0-B8092CBF3115	[Взаимодействие с банком]->[Процессы]->[Загрузка б.отчета об оборотах д.средств]->[Значения по умолчанию]	{      var date = DateTime.Today;      context.CurrentDocument["LoadDate"] = date;      context.Curr	B45ED0AB-EAC7-47E0-A41B-3920A4CCE511	1	1	1	297
C41A5BAA-5394-4C4F-B5A5-2218C9EC5F80	[Взаимодействие с банком]->[Процессы]->[Загрузка б.отчета об оборотах д.средств]->{Обработка Файла и формирование отчета}	{      context.CurrentDocument["LoadDate"] = DateTime.Today;            if (context.UploadFileData =	B45ED0AB-EAC7-47E0-A41B-3920A4CCE511	1	1	1	7954
4E4AF8C0-D9F1-4507-BC4F-34F6AC95006B	[Взаимодействие с банком]->[Процессы]->[Загрузка б.отчета по неоплаченным пособиям]->{Обработка файла и формирование отчета}	{      context.CurrentDocument["LoadDate"] = DateTime.Today;            if (context.UploadFileData =	C15160B3-4FB1-4951-AF9E-C14F6CFEA4C2	1	1	1	5788
80FE042B-AB78-4D85-B3C1-A8C6CD69F130	[Взаимодействие с банком]->[Процессы]->[Загрузка банковских номеров]->{Считывание банковских счетов}	{      context.CurrentDocument["LoadDate"] = DateTime.Today;            if (context.UploadFileData =	828947AE-44B6-4ECE-ADE3-E6DFA63D3FE0	1	1	1	14276
AE38B9E0-465E-4B7D-AE65-22E531BAD39C	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция заявителей в НРСЗ]->[Обработка результата]	{      context.SuccessFlag = false;      var successCount = (int?) context["SuccessCount"] ?? 0;    	CEE4CD7A-E954-45E7-AE60-55BE38BCEA6B	1	2	1	2323
A0F05BFA-D5DD-4E83-8FE3-183E37D52D52	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция заявителей в НРСЗ]->[Обработка создания]	{      var person = (Doc) context["NewPerson"];        var successCount = (int?) context["SuccessCou	CEE4CD7A-E954-45E7-AE60-55BE38BCEA6B	1	1	1	1954
5A027799-B409-4F49-B6D9-263224C7D92C	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция заявителей в НРСЗ]->[Подготовка данных]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	CEE4CD7A-E954-45E7-AE60-55BE38BCEA6B	1	1	1	3307
FDE1B8BB-1987-46FA-970E-271309DD7C49	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция заявителей в НРСЗ]->[Подготовка элемента для миграции]	{      var persons = new List<object>((IEnumerable<object>) context["Persons"]);      var regions = 	CEE4CD7A-E954-45E7-AE60-55BE38BCEA6B	3	3	1	1205
B5F1EE67-6F3C-4E71-9656-8DCDEDC0EEBC	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция заявителей в НРСЗ]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	CEE4CD7A-E954-45E7-AE60-55BE38BCEA6B	1	1	1	361
29880996-DC35-40CA-8826-B3192F73C07D	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция назначений АСП]->[Обработка результата]	{      var account = (Doc) context["Account"];        var successCount = (int?) context["SuccessCoun	766B66DF-6AB8-421C-B0DE-B7F64B0B559E	1	1	1	1892
4FC8D1DD-058F-4BF2-9F5E-3D5193B3B682	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция назначений АСП]->[Подготовка миграции]	{      // New1: Передача адреса            context.CurrentDocument["MigrationDate"] = DateTime.Now; 	766B66DF-6AB8-421C-B0DE-B7F64B0B559E	1	1	1	6641
14FCFFD4-CF8E-432C-B2D6-A6DE56D4460C	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция назначений АСП]->[Подготовка элемента для миграции]	{  //    var persons = new List<object>((IEnumerable<object>) context["Persons"]);      var pins = n	766B66DF-6AB8-421C-B0DE-B7F64B0B559E	2	2	1	3596
7903F81D-4967-4C53-AEA2-0CE4DADD7ABF	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция назначений АСП]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	766B66DF-6AB8-421C-B0DE-B7F64B0B559E	1	1	1	361
87891A4C-A64C-4C69-BE3C-F3FF7BF6E935	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Обработка результата]	{      var card = (Doc) context["Card"];        var successCount = (int?) context["SuccessCount"] ??	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	1	1	1	1897
59AFFA5F-437A-40FA-B59A-9958E4479816	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Подготовка миграции]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	1	1	1	3611
109CF27C-B1D6-4757-A08F-100605510B45	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Подготовка элемента для миграции]	{      var pins = new List<object>((IEnumerable<object>) context["Pins"]);      var cards = new List	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	2	2	1	1073
B6290CC0-C840-40D2-BA50-13F4F0EEF557	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция социальных карточек]->[Сохранение журнала]	{      var registry = (Doc) context["Registry"];      var successCount = (int?) context["SuccessCoun	149E1A42-8E58-4C7F-8329-0A19DD66B9B3	1	1	1	361
6BED2E44-DA89-43AE-9E6D-6B068859D1D8	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Обработка результата]	{      var account = (Doc) context["Account"];        var successCount = (int?) context["SuccessCoun	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	1	1	1	1925
FDE74652-97E0-471C-8045-AB2C4748DDE5	[Взаимодействие с НРСЗ]->[Миграция в НРСЗ]->[Процессы]->[Миграция справок на погребение]->[Подготовка миграции]	{      context.CurrentDocument["Date"] = DateTime.Now;      context["Registry"] = context.CurrentDoc	8F121943-AF9F-4E77-BB7F-CE8C916F70E4	1	1	1	4009
